# ID,Label
0,4
1,8
2,6
3,6
4,1
5,5
6,8
7,8
8,6
9,2
10,6
11,4
12,8
13,1
14,1
15,3
16,1
17,2
18,6
19,4
20,2
21,5
22,2
23,7
24,8
25,2
26,2
27,6
28,4
29,7
30,6
31,3
32,6
33,2
34,4
35,1
36,5
37,6
38,3
39,2
40,4
41,8
42,7
43,4
44,3
45,4
46,6
47,6
48,2
49,6
50,6
51,2
52,5
53,5
54,7
55,2
56,4
57,2
58,5
59,7
60,5
61,8
62,2
63,5
64,8
65,7
66,8
67,5
68,5
69,7
70,6
71,1
72,7
73,6
74,5
75,6
76,7
77,6
78,2
79,8
80,7
81,2
82,5
83,5
84,4
85,5
86,3
87,3
88,8
89,5
90,3
91,3
92,8
93,7
94,2
95,7
96,5
97,7
98,7
99,5
100,2
101,7
102,2
103,2
104,1
105,1
106,5
107,1
108,8
109,3
110,3
111,4
112,1
113,6
114,7
115,4
116,1
117,5
118,3
119,2
120,7
121,6
122,3
123,8
124,4
125,6
126,3
127,5
128,3
129,1
130,3
131,8
132,8
133,4
134,2
135,3
136,1
137,2
138,5
139,3
140,5
141,3
142,1
143,2
144,6
145,2
146,7
147,1
148,1
149,1
150,2
151,8
152,7
153,5
154,5
155,4
156,5
157,6
158,3
159,6
160,2
161,1
162,8
163,4
164,6
165,8
166,3
167,8
168,6
169,8
170,1
171,7
172,3
173,8
174,7
175,7
176,4
177,7
178,2
179,3
180,5
181,3
182,7
183,3
184,5
185,8
186,2
187,8
188,8
189,4
190,1
191,7
192,2
193,4
194,8
195,3
196,5
197,3
198,7
199,5
200,4
201,1
202,8
203,4
204,8
205,8
206,1
207,6
208,1
209,8
210,4
211,3
212,2
213,6
214,2
215,1
216,3
217,4
218,1
219,5
220,7
221,6
222,6
223,6
224,3
225,2
226,3
227,1
228,1
229,5
230,7
231,2
232,7
233,5
234,2
235,3
236,3
237,8
238,1
239,6
240,4
241,6
242,6
243,6
244,8
245,3
246,4
247,7
248,2
249,1
250,7
251,5
252,2
253,7
254,1
255,1
256,7
257,3
258,7
259,5
260,5
261,7
262,2
263,7
264,2
265,1
266,1
267,7
268,1
269,1
270,7
271,4
272,7
273,3
274,5
275,4
276,3
277,5
278,6
279,1
280,8
281,4
282,3
283,5
284,6
285,2
286,6
287,6
288,5
289,5
290,1
291,4
292,4
293,4
294,5
295,8
296,5
297,8
298,3
299,6
300,7
301,2
302,2
303,6
304,4
305,2
306,8
307,8
308,3
309,5
310,3
311,1
312,1
313,3
314,6
315,3
316,7
317,5
318,3
319,2
320,2
321,5
322,1
323,1
324,3
325,3
326,4
327,6
328,3
329,1
330,1
331,4
332,3
333,2
334,1
335,1
336,8
337,7
338,4
339,8
340,2
341,6
342,8
343,4
344,2
345,8
346,2
347,3
348,6
349,7
350,3
351,1
352,1
353,5
354,5
355,2
356,3
357,4
358,3
359,2
360,2
361,7
362,6
363,4
364,4
365,3
366,5
367,7
368,7
369,8
370,3
371,1
372,4
373,5
374,5
375,6
376,1
377,6
378,2
379,4
380,8
381,1
382,1
383,8
384,5
385,4
386,7
387,5
388,3
389,4
390,8
391,4
392,4
393,7
394,6
395,2
396,4
397,1
398,3
399,4
400,7
401,6
402,3
403,2
404,4
405,2
406,6
407,2
408,8
409,2
410,2
411,7
412,6
413,6
414,3
415,1
416,1
417,3
418,6
419,1
420,5
421,6
422,3
423,5
424,3
425,3
426,3
427,3
428,7
429,2
430,8
431,4
432,1
433,4
434,8
435,8
436,8
437,2
438,2
439,1
440,7
441,1
442,2
443,1
444,6
445,5
446,8
447,2
448,1
449,5
450,6
451,6
452,3
453,5
454,2
455,7
456,7
457,1
458,5
459,7
460,3
461,1
462,6
463,6
464,4
465,5
466,6
467,5
468,4
469,7
470,4
471,6
472,1
473,6
474,3
475,2
476,4
477,4
478,7
479,1
480,2
481,7
482,6
483,2
484,4
485,5
486,1
487,1
488,5
489,2
490,2
491,5
492,4
493,8
494,4
495,2
496,5
497,7
498,1
499,3
500,7
501,7
502,3
503,4
504,2
505,8
506,5
507,1
508,7
509,4
510,2
511,3
512,6
513,3
514,6
515,7
516,6
517,2
518,6
519,3
520,4
521,5
522,3
523,4
524,8
525,8
526,4
527,7
528,4
529,7
530,7
531,5
532,5
533,5
534,4
535,1
536,2
537,6
538,5
539,8
540,8
541,5
542,3
543,7
544,4
545,7
546,8
547,4
548,7
549,1
550,4
551,4
552,8
553,8
554,6
555,7
556,8
557,1
558,5
559,5
560,6
561,3
562,7
563,8
564,7
565,6
566,1
567,5
568,7
569,7
570,7
571,4
572,7
573,4
574,7
575,5
576,6
577,7
578,2
579,1
580,2
581,3
582,2
583,2
584,3
585,8
586,1
587,4
588,7
589,1
590,7
591,4
592,5
593,3
594,8
595,2
596,4
597,5
598,8
599,3
600,1
601,8
602,6
603,3
604,8
605,6
606,8
607,4
608,7
609,7
610,7
611,5
612,5
613,6
614,3
615,7
616,5
617,4
618,3
619,3
620,6
621,3
622,8
623,4
624,7
625,3
626,5
627,8
628,3
629,8
630,5
631,4
632,1
633,1
634,6
635,2
636,7
637,3
638,4
639,7
640,7
641,4
642,5
643,1
644,1
645,5
646,4
647,6
648,4
649,5
650,5
651,5
652,4
653,6
654,4
655,7
656,8
657,5
658,5
659,1
660,5
661,8
662,3
663,6
664,5
665,3
666,7
667,6
668,3
669,4
670,4
671,4
672,3
673,4
674,1
675,3
676,1
677,2
678,1
679,2
680,2
681,3
682,1
683,2
684,3
685,4
686,3
687,7
688,3
689,2
690,2
691,4
692,1
693,2
694,3
695,6
696,6
697,3
698,4
699,8
700,5
701,6
702,5
703,4
704,6
705,1
706,3
707,1
708,1
709,1
710,7
711,5
712,7
713,6
714,3
715,4
716,4
717,7
718,3
719,4
720,3
721,4
722,5
723,1
724,6
725,5
726,6
727,3
728,3
729,8
730,4
731,7
732,3
733,2
734,5
735,5
736,7
737,8
738,1
739,4
740,4
741,1
742,7
743,7
744,6
745,5
746,6
747,3
748,1
749,5
750,4
751,2
752,1
753,6
754,7
755,7
756,2
757,6
758,4
759,5
760,2
761,1
762,3
763,3
764,2
765,6
766,6
767,8
768,3
769,4
770,1
771,3
772,8
773,1
774,5
775,7
776,1
777,8
778,3
779,1
780,5
781,7
782,2
783,5
784,6
785,3
786,2
787,6
788,1
789,2
790,2
791,4
792,2
793,5
794,7
795,3
796,4
797,3
798,1
799,5
800,1
801,8
802,8
803,6
804,2
805,5
806,4
807,1
808,7
809,6
810,5
811,5
812,6
813,6
814,8
815,5
816,4
817,8
818,5
819,4
820,1
821,5
822,3
823,3
824,1
825,3
826,2
827,5
828,6
829,4
830,7
831,8
832,5
833,2
834,1
835,5
836,8
837,8
838,8
839,3
840,5
841,5
842,3
843,8
844,1
845,7
846,5
847,7
848,5
849,5
850,2
851,7
852,4
853,6
854,6
855,5
856,1
857,3
858,4
859,2
860,5
861,6
862,4
863,6
864,4
865,7
866,1
867,8
868,4
869,2
870,4
871,7
872,1
873,6
874,4
875,8
876,4
877,5
878,8
879,1
880,4
881,7
882,4
883,8
884,5
885,2
886,3
887,1
888,7
889,6
890,4
891,8
892,4
893,3
894,2
895,3
896,3
897,6
898,3
899,7
900,1
901,3
902,1
903,4
904,4
905,6
906,7
907,8
908,7
909,3
910,1
911,5
912,8
913,6
914,3
915,6
916,4
917,8
918,4
919,8
920,1
921,1
922,8
923,1
924,4
925,3
926,7
927,2
928,5
929,3
930,5
931,5
932,8
933,5
934,2
935,1
936,3
937,2
938,4
939,5
940,1
941,8
942,5
943,2
944,4
945,5
946,2
947,1
948,4
949,3
950,1
951,3
952,3
953,7
954,6
955,4
956,1
957,4
958,1
959,2
960,7
961,6
962,8
963,1
964,6
965,4
966,8
967,1
968,3
969,8
970,4
971,6
972,5
973,2
974,8
975,2
976,4
977,8
978,3
979,1
980,8
981,5
982,3
983,8
984,5
985,8
986,3
987,2
988,7
989,2
990,4
991,8
992,2
993,6
994,4
995,7
996,2
997,3
998,4
999,3
1000,5
1001,4
1002,1
1003,7
1004,8
1005,8
1006,4
1007,6
1008,6
1009,7
1010,6
1011,5
1012,7
1013,7
1014,3
1015,3
1016,1
1017,3
1018,2
1019,1
1020,7
1021,3
1022,6
1023,7
1024,6
1025,2
1026,8
1027,2
1028,8
1029,4
1030,1
1031,1
1032,3
1033,1
1034,8
1035,4
1036,3
1037,1
1038,6
1039,4
1040,7
1041,4
1042,2
1043,8
1044,3
1045,4
1046,3
1047,2
1048,2
1049,7
1050,7
1051,2
1052,5
1053,5
1054,4
1055,2
1056,7
1057,4
1058,7
1059,1
1060,7
1061,6
1062,2
1063,7
1064,5
1065,6
1066,7
1067,6
1068,6
1069,7
1070,7
1071,7
1072,8
1073,5
1074,3
1075,4
1076,3
1077,6
1078,3
1079,8
1080,2
1081,5
1082,7
1083,3
1084,2
1085,7
1086,1
1087,3
1088,3
1089,6
1090,4
1091,7
1092,5
1093,1
1094,4
1095,4
1096,1
1097,5
1098,7
1099,7
1100,7
1101,2
1102,1
1103,6
1104,4
1105,5
1106,1
1107,5
1108,8
1109,3
1110,7
1111,4
1112,3
1113,6
1114,3
1115,8
1116,3
1117,1
1118,2
1119,2
1120,8
1121,4
1122,2
1123,5
1124,6
1125,7
1126,4
1127,1
1128,2
1129,1
1130,8
1131,2
1132,6
1133,7
1134,4
1135,6
1136,7
1137,4
1138,4
1139,5
1140,1
1141,5
1142,1
1143,5
1144,3
1145,1
1146,5
1147,7
1148,7
1149,7
1150,5
1151,5
1152,3
1153,6
1154,4
1155,4
1156,2
1157,1
1158,1
1159,8
1160,6
1161,4
1162,3
1163,7
1164,6
1165,7
1166,7
1167,3
1168,5
1169,4
1170,4
1171,3
1172,4
1173,4
1174,6
1175,8
1176,3
1177,6
1178,3
1179,3
1180,4
1181,4
1182,3
1183,2
1184,7
1185,7
1186,4
1187,7
1188,3
1189,7
1190,2
1191,1
1192,5
1193,5
1194,8
1195,7
1196,3
1197,7
1198,2
1199,3
1200,2
1201,8
1202,8
1203,7
1204,1
1205,5
1206,5
1207,1
1208,6
1209,7
1210,6
1211,2
1212,1
1213,5
1214,4
1215,7
1216,8
1217,1
1218,5
1219,3
1220,1
1221,3
1222,2
1223,8
1224,4
1225,8
1226,3
1227,4
1228,1
1229,4
1230,7
1231,6
1232,4
1233,8
1234,4
1235,6
1236,5
1237,4
1238,3
1239,5
1240,2
1241,6
1242,3
1243,2
1244,1
1245,8
1246,4
1247,2
1248,7
1249,5
1250,5
1251,8
1252,4
1253,5
1254,1
1255,5
1256,2
1257,4
1258,6
1259,8
1260,2
1261,1
1262,5
1263,4
1264,1
1265,2
1266,6
1267,2
1268,8
1269,2
1270,5
1271,2
1272,1
1273,7
1274,5
1275,8
1276,6
1277,2
1278,5
1279,8
1280,3
1281,1
1282,8
1283,1
1284,2
1285,8
1286,7
1287,3
1288,1
1289,1
1290,5
1291,5
1292,6
1293,6
1294,8
1295,1
1296,2
1297,1
1298,2
1299,3
1300,4
1301,5
1302,1
1303,5
1304,8
1305,6
1306,2
1307,4
1308,1
1309,3
1310,6
1311,5
1312,4
1313,3
1314,5
1315,6
1316,7
1317,1
1318,6
1319,3
1320,6
1321,3
1322,2
1323,1
1324,1
1325,5
1326,8
1327,6
1328,4
1329,6
1330,2
1331,4
1332,3
1333,5
1334,6
1335,8
1336,3
1337,1
1338,8
1339,6
1340,8
1341,2
1342,2
1343,8
1344,2
1345,5
1346,7
1347,1
1348,4
1349,4
1350,6
1351,7
1352,8
1353,6
1354,3
1355,8
1356,7
1357,6
1358,1
1359,6
1360,8
1361,1
1362,1
1363,2
1364,3
1365,7
1366,5
1367,2
1368,4
1369,8
1370,2
1371,1
1372,6
1373,2
1374,8
1375,7
1376,1
1377,2
1378,3
1379,2
1380,6
1381,4
1382,5
1383,6
1384,6
1385,8
1386,5
1387,4
1388,8
1389,6
1390,3
1391,4
1392,6
1393,2
1394,7
1395,2
1396,4
1397,4
1398,5
1399,1
1400,2
1401,7
1402,1
1403,5
1404,3
1405,5
1406,1
1407,4
1408,1
1409,7
1410,5
1411,7
1412,2
1413,1
1414,8
1415,7
1416,2
1417,5
1418,5
1419,1
1420,6
1421,6
1422,2
1423,8
1424,6
1425,1
1426,6
1427,8
1428,4
1429,2
1430,2
1431,7
1432,1
1433,8
1434,1
1435,6
1436,5
1437,7
1438,4
1439,2
1440,7
1441,4
1442,5
1443,3
1444,3
1445,2
1446,2
1447,3
